,bought,buy_price,stop_loss,sold,sell_price,stoped
844,2020-08-13 12:06:00+00:00,11532.259234149682,11367.192370104609,2020-08-15 00:25:00+00:00,11885.392882968361,False
845,2020-08-15 12:13:00+00:00,11839.328148250479,11721.25870367862,2020-08-16 12:05:00+00:00,11721.25870367862,True
846,2020-08-17 00:07:00+00:00,11886.737383361908,11778.533693857482,2020-08-17 02:31:00+00:00,11778.533693857482,True
847,2020-08-17 12:06:00+00:00,11880.726238736483,11783.07080280362,2020-08-19 04:17:00+00:00,11783.07080280362,True
848,2020-08-19 12:17:00+00:00,11806.804618421553,11631.777293592486,2020-08-19 20:16:00+00:00,11631.777293592486,True
849,2020-08-20 02:23:00+00:00,11738.717427334876,11566.23358359747,2020-08-20 12:00:00+00:00,11844.159244150422,False
850,2020-08-21 00:16:00+00:00,11853.27996190175,11761.512060782467,2020-08-21 10:09:00+00:00,11761.512060782467,True
851,2020-08-21 12:10:00+00:00,11671.173457635377,11590.566049383491,2020-08-21 21:13:00+00:00,11590.566049383491,True
852,2020-08-22 00:08:00+00:00,11472.051762772087,11342.156147134183,2020-08-25 14:14:00+00:00,11342.156147134183,True
853,2020-08-26 00:07:00+00:00,11293.255376336778,11140.639133339882,2020-08-27 13:15:00+00:00,11485.148876411215,False
854,2020-08-28 00:09:00+00:00,11288.657798252727,11145.691860256115,2020-08-28 11:49:00+00:00,11471.091876068374,False
855,2020-08-28 12:13:00+00:00,11449.919900034736,11360.126529108333,2020-08-28 16:00:00+00:00,11540.347485376886,False
856,2020-08-29 00:06:00+00:00,11515.145896074404,11449.442690742975,2020-08-29 10:45:00+00:00,11449.442690742975,True
857,2020-08-29 12:41:00+00:00,11442.714843665402,11361.556559398956,2020-08-29 19:33:00+00:00,11546.219446876032,False
858,2020-08-30 02:09:00+00:00,11603.530049231274,11533.784601899884,2020-08-30 13:14:00+00:00,11646.142108580378,False
859,2020-08-31 01:45:00+00:00,11678.112886224038,11608.21662172848,2020-08-31 07:28:00+00:00,11608.21662172848,True
860,2020-08-31 12:07:00+00:00,11674.857574691367,11601.990027095773,2020-09-01 00:20:00+00:00,11601.990027095773,True
861,2020-09-01 14:06:00+00:00,11853.788860244527,11757.388636229654,2020-09-02 06:40:00+00:00,11757.388636229654,True
862,2020-09-02 14:55:00+00:00,11245.450115713036,11008.505588806489,2020-09-03 12:11:00+00:00,11008.505588806489,True
863,2020-09-04 07:02:00+00:00,10222.313145180588,9864.222217502862,2020-09-04 09:55:00+00:00,10498.383200547547,False
864,2020-09-04 14:13:00+00:00,10346.12525810867,10032.889822928675,2020-09-04 20:00:00+00:00,10599.18847858757,False
865,2020-09-05 01:07:00+00:00,10442.324181050702,10136.341326376882,2020-09-05 11:53:00+00:00,10136.341326376882,True
866,2020-09-05 12:28:00+00:00,10079.862512517691,9848.04689982889,2020-09-05 18:54:00+00:00,9848.04689982889,True
867,2020-09-06 02:19:00+00:00,10093.961403662248,9833.512277367156,2020-09-06 08:00:00+00:00,10250.004865089857,False
868,2020-09-06 13:00:00+00:00,10224.421068999649,10025.664699221952,2020-09-06 21:18:00+00:00,10308.778267218211,False
869,2020-09-07 01:21:00+00:00,10241.420794313552,10085.617849825458,2020-09-07 06:12:00+00:00,10085.617849825458,True
870,2020-09-07 12:15:00+00:00,9973.511419346612,9845.787277634992,2020-09-07 22:46:00+00:00,10385.749777066383,False
871,2020-09-08 00:25:00+00:00,10348.927622215979,10221.891537607182,2020-09-08 05:59:00+00:00,10221.891537607182,True
872,2020-09-08 18:06:00+00:00,10136.128045543534,9976.245070331994,2020-09-08 21:04:00+00:00,9976.245070331994,True
873,2020-09-09 00:06:00+00:00,10090.154948856101,9905.811365089374,2020-09-09 11:15:00+00:00,10241.360904716534,False
874,2020-09-09 12:24:00+00:00,10204.042253432952,10075.036842978028,2020-09-10 00:49:00+00:00,10075.036842978028,True
875,2020-09-10 14:47:00+00:00,10383.347073921152,10241.752996251975,2020-09-11 03:35:00+00:00,10241.752996251975,True
876,2020-09-11 16:09:00+00:00,10301.501376447706,10216.846382490585,2020-09-11 22:11:00+00:00,10370.976364576527,False
877,2020-09-12 00:06:00+00:00,10373.31322966547,10307.845570024361,2020-09-12 07:02:00+00:00,10307.845570024361,True
878,2020-09-12 12:06:00+00:00,10338.14880644449,10283.424201435553,2020-09-12 14:06:00+00:00,10283.424201435553,True
879,2020-09-13 00:09:00+00:00,10418.097119559734,10355.825311298515,2020-09-13 11:31:00+00:00,10355.825311298515,True
880,2020-09-13 13:00:00+00:00,10282.370481193273,10166.30659583445,2020-09-13 15:16:00+00:00,10323.719123732157,False
881,2020-09-14 00:09:00+00:00,10302.586672197633,10198.656655560395,2020-09-14 08:24:00+00:00,10453.075072750027,False
882,2020-09-14 14:29:00+00:00,10616.18129773897,10482.632984137432,2020-09-14 17:00:00+00:00,10736.655214027254,False
883,2020-09-15 04:26:00+00:00,10739.839055081653,10644.302878842776,2020-09-15 08:40:00+00:00,10644.302878842776,True
884,2020-09-15 14:08:00+00:00,10838.140376572153,10730.080719511778,2020-09-15 16:21:00+00:00,10730.080719511778,True
885,2020-09-16 00:06:00+00:00,10759.58226352995,10618.642406015939,2020-09-16 07:56:00+00:00,10929.496635866693,False
886,2020-09-16 14:09:00+00:00,10902.859537646513,10799.53605457696,2020-09-16 16:41:00+00:00,11083.648880271521,False
887,2020-09-17 00:06:00+00:00,10942.544054390635,10836.895287861784,2020-09-17 10:23:00+00:00,10836.895287861784,True
888,2020-09-17 12:06:00+00:00,10857.279182509235,10756.146045838426,2020-09-17 21:41:00+00:00,10961.189083337356,False
889,2020-09-18 00:23:00+00:00,10918.831075325736,10826.9953811879,2020-09-18 09:42:00+00:00,11031.051721400274,False
890,2020-09-18 12:15:00+00:00,10967.417691525196,10893.575227265213,2020-09-18 15:26:00+00:00,10893.575227265213,True
891,2020-09-19 05:11:00+00:00,10949.440460819076,10877.037749636336,2020-09-19 11:57:00+00:00,11138.214730651924,False
892,2020-09-19 14:13:00+00:00,11091.751112780346,11038.815186111806,2020-09-19 18:07:00+00:00,11038.815186111806,True
893,2020-09-20 00:06:00+00:00,11073.922571181616,11015.865810458276,2020-09-20 02:06:00+00:00,11015.865810458276,True
894,2020-09-20 12:12:00+00:00,10933.958976988311,10852.391206016888,2020-09-20 14:06:00+00:00,10852.391206016888,True
895,2020-09-21 00:06:00+00:00,10913.03841006808,10793.06513312587,2020-09-21 09:28:00+00:00,10793.06513312587,True
896,2020-09-21 12:26:00+00:00,10537.322274842258,10422.540268223904,2020-09-21 14:33:00+00:00,10422.540268223904,True
897,2020-09-22 06:31:00+00:00,10440.247804658069,10303.881451811796,2020-09-22 11:29:00+00:00,10488.493359458043,False
898,2020-09-22 12:20:00+00:00,10431.563764828003,10303.15188005905,2020-09-22 21:05:00+00:00,10556.202219855319,False
899,2020-09-23 00:48:00+00:00,10501.152759499051,10402.404296863231,2020-09-23 07:18:00+00:00,10402.404296863231,True
900,2020-09-23 12:06:00+00:00,10469.144629951745,10387.698550070636,2020-09-23 19:04:00+00:00,10387.698550070636,True
901,2020-09-24 00:07:00+00:00,10198.310822474654,10060.703435465355,2020-09-24 11:03:00+00:00,10420.862028347012,False
902,2020-09-24 12:06:00+00:00,10401.305729392901,10302.12212901909,2020-09-24 22:50:00+00:00,10781.384644053362,False
903,2020-09-25 00:10:00+00:00,10724.76311836173,10644.630790318008,2020-09-25 05:56:00+00:00,10644.630790318008,True
904,2020-09-25 12:19:00+00:00,10630.922969812993,10534.896587604271,2020-09-25 20:23:00+00:00,10745.786847552215,False
905,2020-09-26 00:26:00+00:00,10675.842212554886,10579.573140960858,2020-09-26 05:52:00+00:00,10815.141125535027,False
906,2020-09-26 12:06:00+00:00,10697.614433335255,10620.274145114543,2020-09-26 18:01:00+00:00,10771.647015756174,False
907,2020-09-27 00:06:00+00:00,10727.820654430307,10669.428943638677,2020-09-27 06:41:00+00:00,10669.428943638677,True
908,2020-09-27 14:26:00+00:00,10659.966720732415,10575.158886487206,2020-09-28 00:00:00+00:00,10786.020613344383,False
909,2020-09-28 12:42:00+00:00,10865.417251751485,10787.569890976518,2020-09-28 23:15:00+00:00,10787.569890976518,True
910,2020-09-29 02:53:00+00:00,10661.965731296123,10483.035990435093,2020-09-29 23:18:00+00:00,10862.320522738866,False
911,2020-09-30 00:06:00+00:00,10836.169770620112,10737.36111343455,2020-09-30 03:59:00+00:00,10737.36111343455,True
912,2020-09-30 16:06:00+00:00,10771.730448549184,10688.589886851596,2020-09-30 18:47:00+00:00,10688.589886851596,True
913,2020-10-01 02:08:00+00:00,10816.478357200063,10743.455911758945,2020-10-01 15:51:00+00:00,10743.455911758945,True
914,2020-10-02 04:59:00+00:00,10599.676057919472,10483.23778387144,2020-10-02 07:48:00+00:00,10483.23778387144,True
915,2020-10-02 14:23:00+00:00,10514.306162532584,10379.112534855105,2020-10-03 11:21:00+00:00,10563.278254715342,False
916,2020-10-03 12:06:00+00:00,10532.427427717499,10454.242469827359,2020-10-03 16:54:00+00:00,10600.730556116883,False
917,2020-10-04 00:06:00+00:00,10536.564624455672,10478.208319886979,2020-10-05 00:07:00+00:00,10701.228326665983,False
918,2020-10-05 12:06:00+00:00,10665.283203307838,10614.429773942296,2020-10-06 18:55:00+00:00,10614.429773942296,True
919,2020-10-07 00:14:00+00:00,10577.874879071918,10469.259787799776,2020-10-07 12:46:00+00:00,10630.70481341711,False
920,2020-10-08 00:06:00+00:00,10660.8996597968,10611.394648129364,2020-10-08 05:06:00+00:00,10611.394648129364,True
921,2020-10-08 12:06:00+00:00,10601.87957707002,10534.90787354025,2020-10-12 13:45:00+00:00,11431.249122984036,False
922,2020-10-13 00:06:00+00:00,11526.876328736838,11362.689492404292,2020-10-13 13:32:00+00:00,11362.689492404292,True
923,2020-10-14 02:06:00+00:00,11439.27932579963,11329.576124395291,2020-10-14 15:50:00+00:00,11329.576124395291,True
924,2020-10-15 00:06:00+00:00,11409.061356988603,11289.184686566432,2020-10-15 09:45:00+00:00,11289.184686566432,True
925,2020-10-15 12:10:00+00:00,11300.295877257104,11203.571638006964,2020-10-16 04:25:00+00:00,11203.571638006964,True
926,2020-10-16 14:39:00+00:00,11329.482873638131,11193.132947890848,2020-10-17 15:01:00+00:00,11388.626354853797,False
927,2020-10-18 00:06:00+00:00,11358.270691495018,11281.795422024503,2020-10-19 00:00:00+00:00,11514.67598696806,False
928,2020-10-19 14:09:00+00:00,11642.854097141797,11593.632992920337,2020-10-20 15:14:00+00:00,11957.013904852898,False
929,2020-10-21 02:14:00+00:00,11973.549106364793,11875.471916485916,2020-10-21 12:54:00+00:00,12427.060585180912,False
930,2020-10-22 02:06:00+00:00,12854.095351117994,12526.468883634303,2020-10-24 14:14:00+00:00,13065.634112683687,False
931,2020-10-25 00:06:00+00:00,13103.663375309223,13010.940472289965,2020-10-25 05:45:00+00:00,13010.940472289965,True
932,2020-10-25 14:08:00+00:00,12972.837098948492,12781.176288143972,2020-10-26 02:15:00+00:00,13100.945237396783,False
933,2020-10-26 12:10:00+00:00,13118.34690366935,12987.338309264587,2020-10-26 15:42:00+00:00,12987.338309264587,True
934,2020-10-27 02:20:00+00:00,13088.05312943073,12923.565312755116,2020-10-27 15:45:00+00:00,13558.702214075578,False
935,2020-10-28 02:06:00+00:00,13715.702450744237,13554.334686101965,2020-10-28 07:24:00+00:00,13554.334686101965,True
936,2020-10-28 12:18:00+00:00,13276.782875148361,13049.59247296568,2020-10-28 14:21:00+00:00,13049.59247296568,True
937,2020-10-29 00:47:00+00:00,13250.585592279782,13012.705057529905,2020-10-29 12:15:00+00:00,13012.705057529905,True
938,2020-10-30 00:06:00+00:00,13442.596325506312,13258.435995206648,2020-10-30 05:51:00+00:00,13258.435995206648,True
